0 th iter:0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1 th iter:0.029718	0.015904	0.018912	0.029808	0.031340	0.032397	0.040094	0.018362	0.006467	0.024206	0.051244	0.010727	0.034604	0.033468	0.009740	0.049675	0.013176	0.047719	
2 th iter:0.007452	0.000162	0.011466	0.018971	0.018283	0.018232	0.034632	-0.000725	-0.011742	0.012594	0.039509	-0.006799	0.016842	0.028905	-0.006485	0.040295	-0.005207	0.028014	
3 th iter:0.016006	0.008434	0.015506	0.023896	0.021982	0.021794	0.037940	0.006224	-0.003782	0.018248	0.044394	0.001556	0.026202	0.031603	-0.000362	0.046116	0.003294	0.036541	
4 th iter:0.012227	0.004891	0.013893	0.021610	0.019954	0.020222	0.036357	0.003096	-0.007250	0.015863	0.042223	-0.002170	0.022221	0.030714	-0.003000	0.043532	-0.000786	0.032411	
5 th iter:0.013897	0.006482	0.014605	0.022620	0.020814	0.020902	0.037045	0.004507	-0.005710	0.016966	0.043203	-0.000490	0.024053	0.031106	-0.001833	0.044686	0.001014	0.034213	
6 th iter:0.013152	0.005771	0.014285	0.022169	0.020429	0.020598	0.036734	0.003880	-0.006393	0.016481	0.042764	-0.001234	0.023241	0.030937	-0.002352	0.044172	0.000211	0.033407	
7 th iter:0.013483	0.006087	0.014427	0.022369	0.020600	0.020733	0.036872	0.004159	-0.006089	0.016699	0.042959	-0.000902	0.023603	0.031014	-0.002121	0.044400	0.000569	0.033765	
8 th iter:0.013336	0.005946	0.014364	0.022279	0.020524	0.020673	0.036811	0.004035	-0.006224	0.016602	0.042872	-0.001050	0.023441	0.030980	-0.002224	0.044299	0.000410	0.033606	
9 th iter:0.013401	0.006009	0.014392	0.022319	0.020558	0.020700	0.036838	0.004090	-0.006164	0.016645	0.042911	-0.000984	0.023513	0.030995	-0.002178	0.044344	0.000480	0.033677	
10 th iter:0.013372	0.005981	0.014379	0.022301	0.020543	0.020688	0.036826	0.004065	-0.006191	0.016626	0.042894	-0.001013	0.023481	0.030988	-0.002198	0.044324	0.000449	0.033645	
11 th iter:0.013385	0.005994	0.014385	0.022309	0.020549	0.020693	0.036831	0.004076	-0.006179	0.016634	0.042901	-0.001000	0.023495	0.030991	-0.002189	0.044333	0.000463	0.033659	
12 th iter:0.013379	0.005988	0.014383	0.022306	0.020546	0.020691	0.036829	0.004072	-0.006184	0.016631	0.042898	-0.001006	0.023489	0.030990	-0.002193	0.044329	0.000457	0.033653	
13 th iter:0.013382	0.005991	0.014384	0.022307	0.020548	0.020692	0.036830	0.004074	-0.006182	0.016632	0.042900	-0.001004	0.023492	0.030990	-0.002192	0.044331	0.000459	0.033656	
14 th iter:0.013381	0.005989	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006183	0.016632	0.042899	-0.001005	0.023491	0.030990	-0.002192	0.044330	0.000458	0.033655	
15 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
16 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000458	0.033655	
17 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
18 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
19 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
20 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
21 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
22 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
23 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
24 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
25 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
26 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
27 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
28 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
29 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
30 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
31 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
32 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
33 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
34 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
35 th iter:0.013381	0.005990	0.014383	0.022307	0.020547	0.020692	0.036830	0.004073	-0.006182	0.016632	0.042899	-0.001004	0.023491	0.030990	-0.002192	0.044330	0.000459	0.033655	
